date	hospitalizations
2012-35	0
2012-36	2
2012-37	0
2012-38	2
2012-39	1
2012-40	5
2012-41	4
2012-42	2
2012-43	10
2012-44	21
2012-45	16
2012-46	19
2012-47	39
2012-48	28
2012-49	141
2012-50	141
2012-51	95
2012-52	311
2013-01	283
2013-02	832
2013-03	601
2013-04	449
2013-05	226
2013-06	238
2013-07	117
2013-08	220
2013-09	111
2013-10	110
2013-11	82
2013-12	104
2013-13	82
2013-14	132
2013-15	88
2013-16	120
2013-17	120
2013-18	69
2013-19	35
2013-20	35
2013-21	4
2013-22	111
2013-23	1
2013-24	41
2013-25	0
2013-26	9
2013-27	0
2013-28	4
2013-29	0
2013-30	20
2013-31	0
2013-32	1
2013-33	0
2013-34	2
