year,make,model,EngineSize,Cylinders,CombFuelEconomy,CO2Emmisions,CO2Rating
2016,ACURA,ILX,2.4,4,8.1,189,7
2016,ACURA,MDX SH-AWD,3.5,6,11.1,254,5
2016,ACURA,MDX SH-AWD ELITE,3.5,6,10.7,251,5
2016,ACURA,RDX AWD,3.5,6,10.7,249,5
2016,ACURA,RLX,3.5,6,10,235,5
2016,ACURA,RLX HYBRID,3.5,6,7.7,180,7
2016,ACURA,TLX,2.4,4,8.3,196,7
2016,ACURA,TLX SH-AWD,3.5,6,9.6,226,5
2016,ALFA ROMEO,4C,1.8,4,8.4,197,7
2016,ASTON MARTIN,DB9 GT,5.9,12,15.6,365,2
2016,ASTON MARTIN,RAPIDE S,6,12,14.2,332,3
2016,ASTON MARTIN,VANQUISH,6,12,14.8,346,3
2016,ASTON MARTIN,V8 VANTAGE,4.7,8,14.7,343,3
2016,ASTON MARTIN,V8 VANTAGE,4.7,8,15.5,362,2
2016,ASTON MARTIN,VANTAGE GT,4.7,8,14.7,343,3
2016,ASTON MARTIN,VANTAGE GT,4.7,8,15.5,362,2
2016,ASTON MARTIN,V8 VANTAGE S,4.7,8,14.7,343,3
2016,ASTON MARTIN,V8 VANTAGE S,4.7,8,15.5,362,2
2016,ASTON MARTIN,V12 VANTAGE S,6,12,16.5,390,2
2016,AUDI,A3,1.8,4,8.7,204,6
2016,AUDI,A3 CABRIOLET QUATTRO,2,4,8.9,208,6
2016,AUDI,A3 QUATTRO,2,4,8.6,201,7
2016,AUDI,A4,2,4,8.9,212,6
2016,AUDI,A4 ALLROAD QUATTRO,2,4,9.9,232,5
2016,AUDI,A4 QUATTRO,2,4,9.6,224,6
2016,AUDI,A4 QUATTRO,2,4,9.1,214,6
2016,AUDI,A5 CABRIOLET QUATTRO,2,4,9.8,230,5
2016,AUDI,A5 QUATTRO,2,4,9.6,224,6
2016,AUDI,A5 QUATTRO,2,4,9.1,214,6
2016,AUDI,A6 QUATTRO,2,4,9.2,211,6
2016,AUDI,A6 QUATTRO,3,6,9.9,232,5
2016,AUDI,A7 QUATTRO,3,6,9.9,232,5
2016,AUDI,A8 QUATTRO,3,6,10.5,247,5
2016,AUDI,A8 QUATTRO,4,8,10.7,249,5
2016,AUDI,A8L QUATTRO,4,8,10.9,255,5
2016,AUDI,A8L QUATTRO,6.3,12,14.2,332,3
2016,AUDI,Q3,2,4,10.3,242,5
2016,AUDI,Q3 QUATTRO,2,4,10.3,240,5
2016,AUDI,Q5 HYBRID QUATTRO,2,4,8.9,209,6
2016,AUDI,Q5 QUATTRO,2,4,10.4,244,5
2016,AUDI,Q5 QUATTRO,3,6,11.4,267,5
2016,AUDI,RS7 QUATTRO,4,8,13.1,309,4
2016,AUDI,S3 QUATTRO,2,4,9,211,6
2016,AUDI,S4 QUATTRO,3,6,11,257,5
2016,AUDI,S4 QUATTRO,3,6,11.7,273,4
2016,AUDI,S5 QUATTRO,3,6,11,257,5
2016,AUDI,S5 QUATTRO,3,6,11.7,273,4
2016,AUDI,S5 CABRIOLET QUATTRO,3,6,11.4,266,5
2016,AUDI,S6 QUATTRO,4,8,11.3,263,5
2016,AUDI,S7 QUATTRO,4,8,11.4,265,5
2016,AUDI,S8 QUATTRO,4,8,13.4,311,4
2016,AUDI,SQ5 QUATTRO,3,6,12.2,285,4
2016,AUDI,TT COUPE QUATTRO,2,4,9.1,209,6
2016,AUDI,TT ROADSTER QUATTRO,2,4,9.1,209,6
2016,AUDI,TTS COUPE QUATTRO,2,4,9.5,222,6
2016,BENTLEY,CONTINENTAL GT,6,12,15.4,360,2
2016,BENTLEY,CONTINENTAL GT CONVERTIBLE,4,8,13.8,322,3
2016,BENTLEY,CONTINENTAL GT CONVERTIBLE,6,12,16,375,2
2016,BENTLEY,FLYING SPUR,4,8,13.8,322,3
2016,BENTLEY,FLYING SPUR,6,12,16,375,2
2016,BENTLEY,MULSANNE,6.8,8,17.5,408,2
2016,BMW,228i,2,4,8.4,197,7
2016,BMW,228i,2,4,9,211,6
2016,BMW,228i xDRIVE,2,4,8.8,207,6
2016,BMW,228i xDRIVE CABRIOLET,2,4,8.9,209,6
2016,BMW,320i,2,4,8.4,197,7
2016,BMW,320i,2,4,9,211,6
2016,BMW,320i xDRIVE,2,4,8.8,207,6
2016,BMW,328d xDRIVE,2,4,6.8,183,7
2016,BMW,328d xDRIVE TOURING,2,4,6.8,183,7
2016,BMW,328i xDRIVE,2,4,8.9,209,6
2016,BMW,328i xDRIVE GRAN TURISMO,2,4,8.9,209,6
2016,BMW,328i xDRIVE TOURING,2,4,8.9,209,6
2016,BMW,335i xDRIVE GRAN TURISMO,3,6,10.2,238,5
2016,BMW,340i,3,6,9.3,217,6
2016,BMW,340i,3,6,9.9,231,5
2016,BMW,340i xDRIVE,3,6,9.3,216,6
2016,BMW,340i xDRIVE,3,6,10.3,241,5
2016,BMW,428i CABRIOLET,2,4,8.9,211,6
2016,BMW,428i COUPE,2,4,8.4,197,7
2016,BMW,428i COUPE,2,4,9,211,6
2016,BMW,428i GRAN COUPE,2,4,8.9,211,6
2016,BMW,428i GRAN COUPE,2,4,9,210,6
2016,BMW,428i xDRIVE CABRIOLET,2,4,9.4,221,6
2016,BMW,428i xDRIVE COUPE,2,4,8.9,209,6
2016,BMW,428i xDRIVE GRAN COUPE,2,4,8.9,209,6
2016,BMW,435i CABRIOLET,3,6,9.9,232,5
2016,BMW,435i COUPE,3,6,9.9,232,5
2016,BMW,435i COUPE,3,6,10.5,246,5
2016,BMW,435i xDRIVE CABRIOLET,3,6,10.2,238,5
2016,BMW,435i xDRIVE COUPE,3,6,10.2,238,5
2016,BMW,435i xDRIVE COUPE,3,6,10.5,247,5
2016,BMW,435i xDRIVE GRAN COUPE,3,6,10.2,238,5
2016,BMW,528i xDRIVE,2,4,8.9,209,6
2016,BMW,535d xDRIVE,3,6,7.9,212,6
2016,BMW,535i xDRIVE,3,6,10.2,238,5
2016,BMW,535i xDRIVE GRAN TURISMO,3,6,11.2,263,5
2016,BMW,550i xDRIVE,4.4,8,12.3,288,4
2016,BMW,550i xDRIVE GRAN TURISMO,4.4,8,12.1,283,4
2016,BMW,640i xDRIVE CABRIOLET,3,6,10.2,238,5
2016,BMW,640i xDRIVE GRAN COUPE,3,6,10.2,238,5
