id,value
#URWhatUTwEat,
#URWhatUTwEat.EatingPatternsAndDietaryGuidance,
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.Alcohol,3
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.BuildingBlocks,
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.BuildingBlocks.Adequacy,2
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.BuildingBlocks.Balance,24
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.BuildingBlocks.Moderation,45
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.BuildingBlocks.Variety,79
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.Daily,20
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.EatingPattern,447
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.Essential,15
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.FoodGuide,
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.FoodGuide.Alternatives,4
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.FoodGuide.BrazilDietaryGuidelines,23
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.FoodGuide.Canada'sFoodGuide,34
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.FoodGuide.EatWellPlate,7
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.FoodGuide.Fibre,77
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.FoodGuide.FoodGroups,40
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.FoodGuide.FoodGuide,13
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.FoodGuide.Fruit,128
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.FoodGuide.FruitsAndVegetables,6
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.FoodGuide.Grain,45
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.FoodGuide.M&A,3
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.FoodGuide.Meats,4
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.FoodGuide.Vegetables,164
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.FoodGuide.WholeGrains,16
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.Health,272
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.Homemade,106
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.Meal,
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.Meal.Breakfast,22
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.Meal.Dinner,43
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.Meal.Lunch,19
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.Meal.Meal,119
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.Meal.Snack,65
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.Measurement,
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.Measurement.Control,11
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.Measurement.PortionSize,10
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.Measurement.Serving,67
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.Measurement.ServingSizes,1
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.Measurement.Sizes,21
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.Natural,16
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.Nutrition,27
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.NutritionValue,
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.NutritionValue.Anti-oxidant,24
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.NutritionValue.CalorieDense,4
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.NutritionValue.Fat,84
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.NutritionValue.Macronutrient,2
#URWhatUTwEat.EatingPatternsAndDietaryGuidance.NutritionValue.Micronutrient,10
